Elapse Time,cpu%,mem%
9:55:01,0,3
9:55:02,0,3
9:55:03,109,3
9:55:04,3.1,2.8
9:55:05,9,2.9
9:55:06,51.5,2.9
9:55:07,28.1,2.9
9:55:08,66.6,2.9
9:55:09,37.5,3
9:55:10,68.7,3
9:55:11,59.3,3
9:55:12,56.2,3
9:55:13,53.1,3
9:55:14,43.7,3.1
9:55:15,51.5,3.1
9:55:16,0,3.1
9:55:17,25.7,3.1
9:55:18,18.1,3.1
9:55:19,0,3.1
9:55:20,18.7,3.1
9:55:21,6,3.2
9:55:22,6.2,3.2
9:55:23,72.7,3.2
9:55:24,9.3,3.2
9:55:25,54.5,3.2
9:55:26,30.3,3.2
9:55:27,40.6,3.2
9:55:28,45.4,3.2
9:55:29,0,3.2
9:55:30,37.5,3.2
9:55:31,21.8,3.3
9:55:32,21.2,3.3
9:55:33,25,3.3
9:55:34,60.6,3.3
9:55:35,43.7,3.3
9:55:36,53.1,3.3
9:55:37,3,3.3
9:55:38,33.3,3.3
9:55:39,37.5,3.3
9:55:40,28.1,3.3
9:55:41,31.2,3.3
9:55:42,40.6,3.3
9:55:43,46.8,3.4
9:55:44,43.7,3.4
9:55:45,37.5,3.4
9:55:46,31.2,3.4
9:55:47,43.7,3.4
9:55:48,50,3.4
9:55:49,42.4,3.4
9:55:50,18.7,3.4
9:55:51,34.3,3.4
9:55:52,24.2,3.4
9:55:53,31.2,3.5
9:55:54,40.6,3.5
9:55:55,0,3.5
9:55:56,51.5,3.5
9:55:57,0,3.5
9:55:58,6.2,3.5
9:55:59,40.6,3.5
9:56:00,0,3.5
9:56:01,18.7,3.5
9:56:02,31.2,3.5
9:56:03,37.5,3.5
9:56:04,18.7,3.5
9:56:05,21.8,3.5
9:56:06,53.1,3.5
9:56:07,3.1,3.5
9:56:08,59.3,3.5
9:56:09,15.6,3.5
9:56:10,9.3,3.6
9:56:11,31.2,3.6
9:56:12,0,3.6
9:56:13,6.2,3.6
9:56:14,37.5,3.6
9:56:15,60.6,3.8
9:56:16,0,3.9
9:56:17,25,3.9
9:56:18,25,3.9
9:56:19,6.2,3.9
9:56:20,0,3.9
9:56:21,0,3.9
9:56:22,0,3.9
9:56:23,0,3.9
9:56:24,0,3.9
